_id,keyword,level1,level2,level3,level4,level5,male,female,date
ObjectId("5dfdb4ab015a4e41b771d006"),lg,7,18,52,20,3,68,32,201810|201811
ObjectId("5dfdb4ab015a4e41b771d007"),lg,6,16,52,22,4,68,32,201811|201812
ObjectId("5dfdb4ab015a4e41b771d008"),lg,6,15,53,22,4,68,32,201812|201901
ObjectId("5dfdb4ab015a4e41b771d009"),lg,6,16,51,22,5,71,29,201901|201902
ObjectId("5dfdb4ab015a4e41b771d00a"),lg,6,17,50,23,4,69,31,201902|201903
ObjectId("5dfdb4ab015a4e41b771d00b"),lg,5,15,51,25,4,68,32,201903|201904
ObjectId("5dfdb4ab015a4e41b771d00c"),lg,5,14,51,24,6,69,31,201904|201905
ObjectId("5dfdb4ac015a4e41b771d00d"),lg,4,14,51,25,6,69,31,201905|201906
ObjectId("5dfdb4ac015a4e41b771d00e"),lg,4,13,52,26,5,69,31,201906|201907
ObjectId("5dfdb4ac015a4e41b771d00f"),lg,4,13,53,25,5,69,31,201907|201908
ObjectId("5dfdb4ac015a4e41b771d010"),lg,5,15,52,23,5,69,31,201908|201909
ObjectId("5dfdb4ac015a4e41b771d011"),lg,7,17,53,19,4,68,32,201909|201910
ObjectId("5dfdb4ac015a4e41b771d012"),lg,7,17,54,19,3,68,32,201910|201911
ObjectId("5dfdb4ac015a4e41b771d013"),lg,7,16,54,20,3,69,31,201911|201912
