_id,keyword,date,prov,prov_index
ObjectId("5dfdfeb1fea717a2d0d05d48"),摩托罗拉,2019-10-01|2019-10-31,931,0
ObjectId("5dfdfeb1fea717a2d0d05d49"),摩托罗拉,2019-11-01|2019-11-30,931,2
ObjectId("5dfdfeb1fea717a2d0d05d4a"),锤子手机,2019-01-01|2019-01-31,934,1
ObjectId("5dfdfeb2fea717a2d0d05d4b"),锤子手机,2019-02-01|2019-02-28,934,0
ObjectId("5dfdfeb2fea717a2d0d05d4c"),锤子手机,2019-03-01|2019-03-31,934,2
ObjectId("5dfdfeb3fea717a2d0d05d4d"),锤子手机,2019-04-01|2019-04-30,934,1
ObjectId("5dfdfeb3fea717a2d0d05d4e"),锤子手机,2019-05-01|2019-05-31,934,2
ObjectId("5dfdfeb4fea717a2d0d05d4f"),锤子手机,2019-06-01|2019-06-30,934,1
ObjectId("5dfdfeb4fea717a2d0d05d50"),锤子手机,2019-07-01|2019-07-31,934,1
ObjectId("5dfdfeb5fea717a2d0d05d51"),锤子手机,2019-08-01|2019-08-31,931,1
ObjectId("5dfdfeb5fea717a2d0d05d52"),锤子手机,2019-09-01|2019-09-30,931,2
ObjectId("5dfdfeb6fea717a2d0d05d53"),锤子手机,2019-10-01|2019-10-31,934,2
ObjectId("5dfdfeb6fea717a2d0d05d54"),锤子手机,2019-11-01|2019-11-30,934,1
ObjectId("5dfdfeb7fea717a2d0d05d55"),华硕,2019-01-01|2019-01-31,934,2
ObjectId("5dfdfeb7fea717a2d0d05d56"),华硕,2019-02-01|2019-02-28,934,2
ObjectId("5dfdfeb8fea717a2d0d05d57"),华硕,2019-03-01|2019-03-31,934,2
ObjectId("5dfdfeb9fea717a2d0d05d58"),华硕,2019-04-01|2019-04-30,934,1
ObjectId("5dfdfebafea717a2d0d05d59"),华硕,2019-05-01|2019-05-31,934,2
ObjectId("5dfdfebafea717a2d0d05d5a"),华硕,2019-06-01|2019-06-30,934,2
ObjectId("5dfdfebbfea717a2d0d05d5b"),华硕,2019-07-01|2019-07-31,934,1
ObjectId("5dfdfebbfea717a2d0d05d5c"),华硕,2019-08-01|2019-08-31,934,1
ObjectId("5dfdfebbfea717a2d0d05d5d"),华硕,2019-09-01|2019-09-30,934,2
ObjectId("5dfdfebcfea717a2d0d05d5e"),华硕,2019-10-01|2019-10-31,934,2
ObjectId("5dfdfebcfea717a2d0d05d5f"),华硕,2019-11-01|2019-11-30,934,1
ObjectId("5dfdfebdfea717a2d0d05d60"),中兴,2019-01-01|2019-01-31,934,1
ObjectId("5dfdfebdfea717a2d0d05d61"),中兴,2019-02-01|2019-02-28,934,1
ObjectId("5dfdfebefea717a2d0d05d62"),中兴,2019-03-01|2019-03-31,934,0
ObjectId("5dfdfebffea717a2d0d05d63"),中兴,2019-04-01|2019-04-30,934,0
ObjectId("5dfdfec0fea717a2d0d05d64"),中兴,2019-05-01|2019-05-31,934,1
ObjectId("5dfdfec0fea717a2d0d05d65"),中兴,2019-06-01|2019-06-30,934,0
ObjectId("5dfdfec1fea717a2d0d05d66"),中兴,2019-07-01|2019-07-31,934,0
ObjectId("5dfdfec1fea717a2d0d05d67"),中兴,2019-08-01|2019-08-31,934,0
ObjectId("5dfdfec2fea717a2d0d05d68"),中兴,2019-09-01|2019-09-30,931,1
ObjectId("5dfdfec2fea717a2d0d05d69"),中兴,2019-10-01|2019-10-31,934,1
ObjectId("5dfdfec2fea717a2d0d05d6a"),中兴,2019-11-01|2019-11-30,934,1
ObjectId("5dfdfec3fea717a2d0d05d6b"),htc,2019-01-01|2019-01-31,934,2
ObjectId("5dfdfec3fea717a2d0d05d6c"),htc,2019-02-01|2019-02-28,934,1
ObjectId("5dfdfec4fea717a2d0d05d6d"),htc,2019-03-01|2019-03-31,934,2
ObjectId("5dfdfec4fea717a2d0d05d6e"),htc,2019-04-01|2019-04-30,934,1
ObjectId("5dfdfec4fea717a2d0d05d6f"),htc,2019-05-01|2019-05-31,934,1
ObjectId("5dfdfec5fea717a2d0d05d70"),htc,2019-06-01|2019-06-30,934,0
ObjectId("5dfdfec5fea717a2d0d05d71"),htc,2019-07-01|2019-07-31,934,1
ObjectId("5dfdfec6fea717a2d0d05d72"),htc,2019-08-01|2019-08-31,934,0
ObjectId("5dfdfec6fea717a2d0d05d73"),htc,2019-09-01|2019-09-30,934,2
ObjectId("5dfdfec7fea717a2d0d05d74"),htc,2019-10-01|2019-10-31,934,2
ObjectId("5dfdfec7fea717a2d0d05d75"),htc,2019-11-01|2019-11-30,934,1
ObjectId("5dfdfec8fea717a2d0d05d76"),lg,2019-01-01|2019-01-31,934,3
ObjectId("5dfdfec8fea717a2d0d05d77"),lg,2019-02-01|2019-02-28,934,3
ObjectId("5dfdfec8fea717a2d0d05d78"),lg,2019-03-01|2019-03-31,934,3
ObjectId("5dfdfec9fea717a2d0d05d79"),lg,2019-04-01|2019-04-30,934,2
ObjectId("5dfdfec9fea717a2d0d05d7a"),lg,2019-05-01|2019-05-31,934,2
ObjectId("5dfdfecafea717a2d0d05d7b"),lg,2019-06-01|2019-06-30,934,2
ObjectId("5dfdfecafea717a2d0d05d7c"),lg,2019-07-01|2019-07-31,934,2
ObjectId("5dfdfecafea717a2d0d05d7d"),lg,2019-08-01|2019-08-31,934,3
ObjectId("5dfdfecbfea717a2d0d05d7e"),lg,2019-09-01|2019-09-30,934,3
ObjectId("5dfdfecbfea717a2d0d05d7f"),lg,2019-10-01|2019-10-31,934,3
ObjectId("5dfdfeccfea717a2d0d05d80"),lg,2019-11-01|2019-11-30,934,2
